feature	param0_importance	param1_importance	Category8	Category6
GO:0031369	0	0	GO_terms	GO_terms
GO:0031371	0	0	GO_terms	GO_terms
GO:0031429	0	0	GO_terms	GO_terms
GO:0031440	0	0	GO_terms	GO_terms
GO:0031932	0	0	GO_terms	GO_terms
GO:0032045	0	0	GO_terms	GO_terms
GO:0032212	0	0	GO_terms	GO_terms
GO:0032300	0	0	GO_terms	GO_terms
GO:0032465	0	0	GO_terms	GO_terms
GO:0032511	0	0	GO_terms	GO_terms
GO:0032545	0	0	GO_terms	GO_terms
GO:0033290	0	0	GO_terms	GO_terms
GO:0034045	0	0	GO_terms	GO_terms
GO:0034062	0.358955922528225	0.10228662143596	GO_terms	GO_terms
GO:0034399	0	0	GO_terms	GO_terms
GO:0034424	0	0	GO_terms	GO_terms
GO:0034457	0	0	GO_terms	GO_terms
GO:0034490	0	0	GO_terms	GO_terms
GO:0034515	0	0	GO_terms	GO_terms
GO:0034551	0	0	GO_terms	GO_terms
GO:0034605	0	0	GO_terms	GO_terms
GO:0035494	0	0	GO_terms	GO_terms
GO:0035632	0	0	GO_terms	GO_terms
GO:0035657	0	0	GO_terms	GO_terms
GO:0035999	0	0	GO_terms	GO_terms
GO:0036010	0	0	GO_terms	GO_terms
GO:0036151	0	0	GO_terms	GO_terms
GO:0036258	0	0	GO_terms	GO_terms
GO:0036396	0	0	GO_terms	GO_terms
GO:0036402	0	0	GO_terms	GO_terms
GO:0038024	0	0	GO_terms	GO_terms
GO:0042026	0	0	GO_terms	GO_terms
GO:0042162	4.42236307205974e-05	0	GO_terms	GO_terms
GO:0042254	0	0	GO_terms	GO_terms
GO:0042273	0	5.6109591596767e-06	GO_terms	GO_terms
GO:0042327	0	0	GO_terms	GO_terms
GO:0042407	0	0	GO_terms	GO_terms
GO:0042555	0	0	GO_terms	GO_terms
GO:0042597	0	0	GO_terms	GO_terms
GO:0042631	0	0	GO_terms	GO_terms
GO:0042645	0	0	GO_terms	GO_terms
GO:0042719	0	0	GO_terms	GO_terms
GO:0042790	0.00015387638609209	0	GO_terms	GO_terms
GO:0042797	0	0	GO_terms	GO_terms
GO:0042802	0	0.00012071573493372	GO_terms	GO_terms
GO:0042803	0	0	GO_terms	GO_terms
GO:0042816	0	0	GO_terms	GO_terms
GO:0042823	0	0	GO_terms	GO_terms
GO:0043022	0	0	GO_terms	GO_terms
GO:0043024	0	0	GO_terms	GO_terms
GO:0043136	0	0	GO_terms	GO_terms
GO:0043161	0	0	GO_terms	GO_terms
GO:0043410	0	0	GO_terms	GO_terms
GO:0043527	0	0	GO_terms	GO_terms
GO:0043614	0	0	GO_terms	GO_terms
GO:0043935	0	0	GO_terms	GO_terms
GO:0044233	0	0	GO_terms	GO_terms
GO:0044572	0	0	GO_terms	GO_terms
GO:0044615	0	0	GO_terms	GO_terms
GO:0044721	0	0	GO_terms	GO_terms
GO:0045047	0	0	GO_terms	GO_terms
GO:0045121	0	0	GO_terms	GO_terms
GO:0045259	0	0	GO_terms	GO_terms
GO:0045275	0	0	GO_terms	GO_terms
GO:0045298	0	0	GO_terms	GO_terms
GO:0045324	0	0	GO_terms	GO_terms
GO:0045333	0	0	GO_terms	GO_terms
GO:0045471	0	0	GO_terms	GO_terms
GO:0045807	0	0	GO_terms	GO_terms
GO:0045861	0	0	GO_terms	GO_terms
GO:0045899	0	0	GO_terms	GO_terms
GO:0045945	0	0	GO_terms	GO_terms
GO:0046034	0	0	GO_terms	GO_terms
GO:0046168	0	0	GO_terms	GO_terms
GO:0046496	0	0	GO_terms	GO_terms
GO:0046872	0.00124025915534783	0.00014501874859913	GO_terms	GO_terms
GO:0046933	0	0	GO_terms	GO_terms
GO:0046961	0	0	GO_terms	GO_terms
GO:0046982	0	0	GO_terms	GO_terms
GO:0047952	0	0	GO_terms	GO_terms
GO:0048194	0	0	GO_terms	GO_terms
GO:0048250	0	0	GO_terms	GO_terms
GO:0050660	0	0	GO_terms	GO_terms
GO:0051082	0	0	GO_terms	GO_terms
GO:0051219	0	0	GO_terms	GO_terms
GO:0051287	0	0	GO_terms	GO_terms
GO:0051321	0	0	GO_terms	GO_terms
GO:0051603	0	0	GO_terms	GO_terms
GO:0052718	0	0	GO_terms	GO_terms
GO:0055085	0	0	GO_terms	GO_terms
GO:0055129	0	0	GO_terms	GO_terms
GO:0060178	0	0	GO_terms	GO_terms
GO:0060237	9.7628776588219e-05	0	GO_terms	GO_terms
GO:0060566	0	0	GO_terms	GO_terms
GO:0060962	0	0	GO_terms	GO_terms
GO:0061024	0	0	GO_terms	GO_terms
